,Unnamed: 0,date,description,original_description,amount,transaction_type,category,account_name,Manual Label,Automatic Label
89,89,2018-11-19,Float Boston,FLOAT BOSTON SOMERVILLE MA,75.0,debit,spa & massage,nRewards Visa,Spending Money,Spending Money
90,90,2018-11-19,Postmates Tip Httpspostmate,POSTMATES TIP HTTPSPOSTMATE CA,4.55,debit,restaurants,nRewards Visa,Spending Money,Spending Money
91,91,2018-11-16,Transfer to Weekly Expenses,Online Banking transfer to CHK 0197 Confirmation# 7341686370,700.0,debit,transfer,Deposits,Transfer,Transfer
92,92,2018-11-16,Online Scheduled Transfer,Online scheduled transfer to CHK 1524 Confirmation# 1310851962,100.0,debit,transfer,Deposits,Transfer,Transfer
93,93,2018-11-16,Debitize,Debitize DES:DEBIT ID: INDN:General D Ohta CO ID:XXXXX96710 WEB PMT...,71.35,debit,credit card payment,Deposits,Debitize,Debitize
94,94,2018-11-16,Wayfair Llc Des,"WAYFAIR LLC DES:DIRECT DEP ID:XXXXX8361858HV5 INDN:OHTA,GEN D CO...",2422.31,credit,paycheck,Deposits,Income,Income
95,95,2018-11-16,Transfer to Weekly Expenses,Online scheduled transfer to CHK 7727 Confirmation# 1310851961,50.0,debit,transfer,Deposits,Transfer,Transfer
96,96,2018-11-16,Transfer to Business Fundamentals Chk,Online Banking transfer to CHK 0197 Confirmation# 5340976748,50.0,debit,transfer,Deposits,Transfer,Transfer
97,97,2018-11-16,Transfer to Bills,Online scheduled transfer to CHK 1524 Confirmation# 1310851960,1250.0,debit,transfer,Deposits,Transfer,Transfer
98,98,2018-11-16,Eversource,EVERSOURCE DES:WEB_PAY ID:XXXXX480102618 INDN:GEN OHTA CO ID:XXXXX42013 WEB,9.51,debit,utilities,Bills,Fixed Cost,Fixed Cost
99,99,2018-11-16,Transfer from Deposits,Online scheduled transfer from CHK 4604 Confirmation# 1310851962,100.0,credit,transfer,Bills,Transfer,Transfer
100,100,2018-11-16,Eversource,EVERSOURCE DES:WEB_PAY ID:XXXXX481102618 INDN:GEN OHTA CO ID:XXXXX42013 WEB,42.96,debit,utilities,Bills,Fixed Cost,Fixed Cost
101,101,2018-11-16,Transfer from Deposits,Online scheduled transfer from CHK 4604 Confirmation# 1310851960,1250.0,credit,transfer,Bills,Transfer,Transfer
102,102,2018-11-16,Whole Foods,WHOLEFDS SYM 1 11/16 PURCHASE BOSTON MA,17.25,debit,groceries,Weekly Expenses,Fixed Cost,Fixed Cost
103,103,2018-11-16,Transfer from Deposits,Online Banking transfer from CHK 4604 Confirmation# 5340976748,50.0,credit,transfer,Weekly Expenses,Transfer,Transfer
104,104,2018-11-16,Wine & Spirits,DOWNTOWN WINE AND SPIRI 11/15 PURCHASE SOMERVILLE MA,53.98,debit,alcohol & bars,Weekly Expenses,Spending Money,Spending Money
105,105,2018-11-16,Transfer from Deposits,Online Banking transfer from CHK 4604 Confirmation# 7341686370,700.0,credit,transfer,Weekly Expenses,Transfer,Transfer
106,106,2018-11-16,Transfer from Deposits,Online scheduled transfer from CHK 4604 Confirmation# 1310851961,50.0,credit,transfer,Business Fundamentals Chk,Investment,Investment
107,107,2018-11-15,Qapital,QAPITAL DES:TRANSFER ID:XXXXX4471 INDN:GEN OHTA CO ID:XXXXX00003 PPD,182.0,debit,deposit,Deposits,Qapital,Qapital
108,108,2018-11-15,Debitize,Debitize DES:DEBIT ID: INDN:General D Ohta CO ID:XXXXX96710 WEB PMT...,153.65,debit,credit card payment,Deposits,Debitize,Debitize
109,109,2018-11-15,Hsbc Online,HSBC ONLINE DES:TRANSFER ID:XXXXX09087 INDN:GEN OHTA CO ID:XXXXX27921 WEB,100.0,debit,transfer for cash spending,Deposits,Savings Goal,Savings Goal
110,110,2018-11-15,Venmo Des Cashout,VENMO DES:CASHOUT ID:XXXXX24311 INDN:GEN OHTA CO ID:XXXXX81992 PPD,19.0,credit,restaurants,Deposits,Venmo Deposit,Venmo Deposit
111,111,2018-11-15,Transfer to Weekly Expenses,Online Banking transfer to CHK 0197 Confirmation# 3133054436,70.0,debit,transfer,Deposits,Transfer,Transfer
112,112,2018-11-15,Online Banking Transfer,Online Banking transfer to CHK 0197 Confirmation# 3132855263,25.0,debit,transfer,Deposits,Transfer,Transfer
113,113,2018-11-15,Transfer to Weekly Expenses,Debitize DES:DEBIT ID: INDN:General D Ohta CO ID:XXXXX96710 WEB PMT...,25.0,debit,transfer,Deposits,Debitize,Debitize
114,114,2018-11-15,Qapital,QAPITAL DES:TRANSFER ID:XXXXX9787 INDN:GEN OHTA CO ID:XXXXX00003 PPD,19.0,debit,deposit,Deposits,Qapital,Qapital
115,115,2018-11-15,Transfer from Deposits,Online Banking transfer from CHK 4604 Confirmation# 3132855263,25.0,credit,transfer,Weekly Expenses,Transfer,Transfer
116,116,2018-11-15,Transfer from Deposits,Online Banking transfer from CHK 4604 Confirmation# 3133054436,70.0,credit,transfer,Weekly Expenses,Transfer,Transfer
117,117,2018-11-15,ATM Withdrawal,BKOFAMERICA ATM 11/15 #000001351 WITHDRWL PORTER SQUARE CAMBRIDGE MA,40.0,debit,cash & atm,Weekly Expenses,Spending Money,Spending Money
118,118,2018-11-14,Num Pang Sandwich,NUM PANG SANDWICH SHOP - BOSTON MA,15.95,debit,restaurants,nRewards Visa,Spending Money,Spending Money
119,119,2018-11-14,Debitize,Debitize DES:DEBIT ID: INDN:General D Ohta CO ID:XXXXX96710 WEB PMT...,2.57,debit,credit card payment,Deposits,Debitize,Debitize
120,120,2018-11-14,Transfer to Bills,QAPITAL DES:TRANSFER ID:XXXXX4906 INDN:GEN OHTA CO ID:XXXXX00003 PPD,100.0,debit,transfer,Deposits,Qapital,Qapital
121,121,2018-11-14,Venmo Des Cashout,VENMO DES:CASHOUT ID:XXXXX94409 INDN:GEN OHTA CO ID:XXXXX81992 PPD,75.7,credit,restaurants,Deposits,Venmo Deposit,Venmo Deposit
122,122,2018-11-14,Gusto Des Ebv,GUSTO DES:EBV 705321 ID:6semjn913ue INDN:Gen Ohta CO ID:XXXXX64003 PPD,0.01,credit,income,Deposits,Income,Income
123,123,2018-11-14,Transfer to Weekly Expenses,Online Banking transfer to CHK 0197 Confirmation# 5416816010,25.0,debit,transfer,Bills,Transfer,Transfer
124,124,2018-11-14,Au Bon Pain,COPLEY PLC AUBONPAIN 2 11/12 PURCHASE BOSTON MA,5.02,debit,restaurants,Weekly Expenses,Spending Money,Spending Money
125,125,2018-11-14,Transfer from Bills,Online Banking transfer from CHK 1524 Confirmation# 5416816010,25.0,credit,transfer,Weekly Expenses,Transfer,Transfer
126,126,2018-11-14,Lyft,LYFT *RIDE MON 8AM 11/13 PURCHASE LYFT.COM CA,17.0,debit,rental car & taxi,Weekly Expenses,Spending Money,Spending Money
127,127,2018-11-13,Postmates Tatte Bakery,POSTMATES TATTE BAKERY HTTPSPOSTMATE CA,30.35,debit,restaurants,nRewards Visa,Spending Money,Spending Money
128,128,2018-11-13,Pticthotelstours Ca,PTICTHOTELSTOURS 855-733-5872 CA,41.0,debit,hotel,nRewards Visa,Spending Money,Spending Money
129,129,2018-11-13,Mail Remittance Received,MAIL REMITTANCE PAYMENT RECEIVED,22.11,credit,credit card payment,nRewards Visa,Debitize,Debitize
130,130,2018-11-13,Online Banking Transfer,Online Banking transfer to CHK 0197 Confirmation# 6295811764,100.0,debit,transfer,Deposits,Transfer,Transfer
131,131,2018-11-13,Debitize,Debitize DES:DEBIT ID: INDN:General D Ohta CO ID:XXXXX96710 WEB PMT...,25.67,debit,credit card payment,Deposits,Debitize,Debitize
132,132,2018-11-13,Transfer to Weekly Expenses,Online Banking transfer to CHK 0197 Confirmation# 5414645315,10.0,debit,transfer,Deposits,Transfer,Transfer
133,133,2018-11-13,Venmo,VENMO DES:PAYMENT ID:XXXXX29008 INDN:GEN OHTA CO ID:XXXXX81992 WEB,35.0,debit,transfer,Deposits,Spending Money,Spending Money
134,134,2018-11-13,Transfer to Weekly Expenses,Online Banking transfer to CHK 0197 Confirmation# 6587417657,1020.0,debit,transfer,Deposits,Transfer,Transfer
135,135,2018-11-13,Transfer to Weekly Expenses,Online Banking transfer to CHK 0197 Confirmation# 7387864820,75.0,debit,transfer,Deposits,Transfer,Transfer
136,136,2018-11-13,Nfcu Ach,NFCU ACH DES:PAYMENT ID:XXXXX2177000002 INDN:GEN OHTA CO ID:XXXXX00027 WEB,150.0,debit,credit card payment,Deposits,Credit card payment,
137,137,2018-11-13,Transfer to Weekly Expenses,VENMO DES:PAYMENT ID:XXXXX48274 INDN:GEN OHTA CO ID:XXXXX81992 WEB,100.0,debit,transfer,Deposits,Spending Money,Spending Money
138,138,2018-11-13,Transfer to Weekly Expenses,Online Banking transfer to CHK 0197 Confirmation# 5414640727,25.32,debit,transfer,Deposits,Transfer,Transfer
139,139,2018-11-13,Transfer to Weekly Expenses,VANGUARD BUY DES:INVESTMENT ID:XXXXX9410150718 INDN:GEN D OHTA CO ID:VMC PUR PPD,25.0,debit,transfer,Deposits,Investment,Investment
140,140,2018-11-13,Transfer to Weekly Expenses,Online Banking transfer to CHK 0197 Confirmation# 7290271629,60.0,debit,transfer,Deposits,Transfer,Transfer
141,141,2018-11-13,Transfer to Weekly Expenses,Online Banking transfer to CHK 0197 Confirmation# 6303435101,40.0,debit,transfer,Deposits,Transfer,Transfer
142,142,2018-11-13,Transfer from Deposits,Online Banking transfer from CHK 4604 Confirmation# 6295811764,100.0,credit,transfer,Weekly Expenses,Transfer,Transfer
143,143,2018-11-13,ATM Withdrawal,BKOFAMERICA ATM 11/11 #000009599 WITHDRWL PORTER SQUARE CAMBRIDGE MA,20.0,debit,cash & atm,Weekly Expenses,Spending Money,Spending Money
144,144,2018-11-13,Star Market,STAR MARKET 11/12 PURCHASE CAMBRIDGE MA,8.27,debit,groceries,Weekly Expenses,Fixed Cost,Fixed Cost
145,145,2018-11-13,Instacart Httpsinstacar Ca,INSTACART 11/11 PURCHASE HTTPSINSTACAR CA,60.3,debit,groceries,Weekly Expenses,Fixed Cost,Fixed Cost
146,146,2018-11-13,Transfer from Deposits,Online Banking transfer from CHK 4604 Confirmation# 5414645315,10.0,credit,transfer,Weekly Expenses,Transfer,Transfer
147,147,2018-11-13,Namecheap,NAME-CHEAP.COM 11/11 PURCHASE WWW.NAMECHEAP AZ,13.16,debit,business services,Weekly Expenses,Spending Money,Spending Money
148,148,2018-11-13,Cambridge Naturals,CAMBRIDGE NATU 11/13 PURCHASE CAMBRIDGE MA,7.47,debit,groceries,Weekly Expenses,Spending Money,Spending Money
149,149,2018-11-13,Lyft,LYFT *RIDE SAT 5PM 11/11 PURCHASE LYFT.COM CA,15.0,debit,rental car & taxi,Weekly Expenses,Spending Money,Spending Money
150,150,2018-11-13,Lyft,LYFT *RIDE SAT 8AM 11/10 PURCHASE LYFT.COM CA,8.0,debit,rental car & taxi,Weekly Expenses,Spending Money,Spending Money
151,151,2018-11-13,Transfer from Deposits,Online Banking transfer from CHK 4604 Confirmation# 6303435101,40.0,credit,transfer,Weekly Expenses,Transfer,Transfer
152,152,2018-11-13,Namecheap,NAME-CHEAP.COM 11/10 PURCHASE WWW.NAMECHEAP AZ,5.0,debit,business services,Weekly Expenses,Spending Money,Spending Money
153,153,2018-11-13,Transfer from Deposits,Online Banking transfer from CHK 4604 Confirmation# 6587417657,1020.0,credit,transfer,Weekly Expenses,Transfer,Transfer
154,154,2018-11-13,ATM Withdrawal,BKOFAMERICA ATM 11/13 #000009803 WITHDRWL PORTER SQUARE CAMBRIDGE MA,40.0,debit,cash & atm,Weekly Expenses,Spending Money,Spending Money
155,155,2018-11-13,Transfer from Deposits,Online Banking transfer from CHK 4604 Confirmation# 7290271629,60.0,credit,transfer,Weekly Expenses,Transfer,Transfer
156,156,2018-11-13,Namecheap,NAME-CHEAP.COM 11/10 PURCHASE WWW.NAMECHEAP AZ,13.94,debit,business services,Weekly Expenses,Spending Money,Spending Money
157,157,2018-11-13,ATM Withdrawal,BKOFAMERICA ATM 11/10 #000004473 WITHDRWL FRESH POND EXPRE CAMBRIDGE MA,20.0,debit,cash & atm,Weekly Expenses,Spending Money,Spending Money
158,158,2018-11-13,Transfer from Deposits,Online Banking transfer from CHK 4604 Confirmation# 7387864820,75.0,credit,transfer,Weekly Expenses,Transfer,Transfer
159,159,2018-11-13,Provident Ls Tx,PROVIDENT METALS 11/10 PURCHASE 469-3173500 TX,1094.37,debit,movies & dvds,Weekly Expenses,,
160,160,2018-11-13,J P Licks At Davis Square,JP LICKS AT DAVIS 11/10 PURCHASE SOMERVILLE MA,7.44,debit,groceries,Weekly Expenses,Spending Money,Spending Money
161,161,2018-11-13,Instacart Httpsinstacar Ca,INSTACART 11/10 PURCHASE HTTPSINSTACAR CA,120.0,debit,groceries,Weekly Expenses,Fixed Cost,Fixed Cost
162,162,2018-11-13,Transfer from Deposits,Online Banking transfer from CHK 4604 Confirmation# 5414640727,25.32,credit,transfer,Weekly Expenses,Transfer,Transfer
163,163,2018-11-13,Lyft,LYFT *RIDE SAT 2PM 11/10 PURCHASE LYFT.COM CA,11.0,debit,rental car & taxi,Weekly Expenses,Spending Money,Spending Money
